t,ModAuth,CheckIntBrokerConf,Sniffing,AllTopicSubs,MITM,CheckFWInt,ProgDownload,CheckSysInt,ModParCmd,BlockCmd,ManControl,SpoofRepBF,NonExTopic,MsgFreqBF,ModParRep,BlockRep,MsgFreqBlock,SpoofRepInfo,MsgFreqInfo,ManView,Compromise
22.99503193754436,0.9999999999999999,0,1,0,1,0.99,1,0,0.5175479871598402,0.353429537634861,0.6880601555015683,0.9999999999999998,0,0,0.8912426906591124,0.420550327811899,0.4221393212556609,0.6733651813473358,0.6698978777203891,1,1
23.4208658623137,1,0,1,0,1,0.99,0.9999999999999998,0,0.5243961349645269,0.3589361703874386,0.6951069554991837,0.9999999999999998,0,0,0.8958739458475107,0.4267190610147529,0.428184679794458,0.6803197906869954,0.6767133948732553,1,1
23.84669978708304,0.9999999999999999,0,1,0,0.9999999999999998,0.99,0.9999999999999998,0,0.531147076980644,0.3643959049192703,0.7019945665022469,1,0,0,0.9003079864785606,0.4328221228208416,0.4341656803644247,0.6871263245971375,0.6833837981051945,0.9999999999999999,0.9999999999999999
24.27253371185238,1,0,1,0,0.9999999999999999,0.99,0.9999999999999999,0,0.5378021929922742,0.3698091406474239,0.7087265846304149,0.9999999999999998,0,0,0.9045532106171598,0.4388602123578803,0.4400830081107225,0.6937879358548277,0.6899121771377313,0.9999999999999998,1
24.69836763662172,1,0,0.9999999999999999,0,1,0.99,1,0,0.5443628431982037,0.3751762735872615,0.7153065247660908,1,0,0,0.9086176587101126,0.4448340213107769,0.4459373408845616,0.7003077101091608,0.6963015559069777,0.9999999999999999,1
25.12420156139106,1,0,1,0,1,0.99,1,0,0.5508303684899254,0.3804976963814085,0.7217378223895963,1,0,0,0.912509028814721,0.4507442340008682,0.4517293493208508,0.7066886673105273,0.7025548939643167,1,0.9999999999999999
25.5500354861604,1,0,0.9999999999999997,0,1,0.99,0.9999999999999998,0,0.5572060907256966,0.3857737983284792,0.7280238353728825,1,0,0,0.9162346911788916,0.4565915274643083,0.457459696915022,0.7129337631094517,0.7086750878472624,1,1
25.97586941092974,1,0,1,0,1,0.99,1,0,0.5634913130007042,0.3910049654115583,0.7341678457327243,0.9999999999999999,0,0,0.9198017022003725,0.4623765715296277,0.4631290400990353,0.7190458902256448,0.7146649724211318,1,1
26.40170333569908,1,0,1,0,1,0.99,1,0,0.5696873199133984,0.3961915803264352,0.7401730613443069,1,0,0,0.9232168177915561,0.4681000288944652,0.468738028316576,0.7250278797879092,0.720527322192151,1,0.9999999999999999
26.82753726046842,1,0,1,0,1,0.99,1,0,0.5757953778280416,0.4013340225096025,0.7460426176161047,1,0,0,0.9264865061751664,0.4737625552014795,0.4742873040974497,0.7308825026455126,0.7262648525926019,1,1
27.25337118523776,1,0,1,0,1,0.99,1,0,0.581816735133534,0.4064326681660146,0.7517795791269198,0.9999999999999999,0,0,0.9296169601350597,0.4793647991134581,0.4797775031311887,0.7366124706516403,0.7318802212386076,1,1
27.6792051100071,0.9999999999999999,0,1,0,1,0.99,0.9999999999999999,0,0.5877526224985654,0.4114878902966094,0.7573869412259455,0.9999999999999999,0,0,0.9326141087453484,0.4849074023876228,0.4852092543398703,0.7422204379195261,0.7373760291611354,1,1
28.10503903477644,1,0,1,0,0.9999999999999998,0.99,0.9999999999999999,0,0.5936042531231422,0.416500058725595,0.7628676315966784,1,0,0,0.9354836286000534,0.4903909999491455,0.4905831799501627,0.7477090020518286,0.7427548220107919,1,1
28.53087295954578,0.9999999999999999,0,1,0,1,0.99,1,0,0.5993728229865467,0.4214695401275063,0.7682245117855042,1,0,0,0.9382309545645646,0.4958162199638813,0.4958998955646038,0.7530807053438409,0.7480190912369639,1,1
28.95670688431512,1,0,0.9999999999999998,0,1,0.99,0.9999999999999999,0,0.6050595110917767,0.4263966980540286,0.7734603786957521,1,0,0,0.9408612900692672,0.5011836839103269,0.5011600102321205,0.7583380359610763,0.7531712752418547,0.9999999999999999,1
